CyaniteTaggingExport_AubinHuet_050821;;;;;;;;;;;;
FILE NAME;DURATION;KEY;MOST SIGNIFICANT PART;ALL MOOD MEANS - Gives information about the average mood mix and the presence of all moods in the song.;MOODS (MOST DOMINANT);VALENCE;AROUSAL;ENERGY LEVEL;EMOTIONAL PROFILE;ENERGY DYNAMICS;EMOTIONAL DYNAMICS;KEYWORDS - these keywords can be customized as part of our „Keyword Cleaning”
Goldberg Variations, BWV 988 - 03 - Variatio 2 a 1 Clav..mp3.mp3;124;G major;45 - 75;Romantic : 0.76, Chilled : 0.69, Calm : 0.63, Sad : 0.56, Happy : 0.38, Spherical : 0.26, Dark : 0.18, Epic : 0.13, Energetic : 0.08, Uplifting : 0.05, Scary : 0.04, Sexy : 0.04, Aggressive : 0.02;calm, chilled, romantic, sad;-0.21;-0.55;low;balanced;low;low;calm, chilled, romantic, tender, moderate, love, chillout, soft, smooth, romance, relaxed, gentle, sentimental, feeling, touching, emotion, emotional, classical, soulful, easy
Fantasy & Fugue in a minor, BWV 904.mp3.mp3;507;A minor;315 - 345;Sad : 0.61, Epic : 0.56, Romantic : 0.48, Dark : 0.44, Calm : 0.35, Spherical : 0.34, Chilled : 0.32, Energetic : 0.21, Scary : 0.18, Happy : 0.12, Uplifting : 0.06, Aggressive : 0.04, Sexy : 0.01;epic, sad;-0.62;-0.14;medium;negative;medium;low;classical, sad, epic, calm, romantic, emotional, sentimental, moderate, classical influence, tender, touching, chilled, love, feeling, affecting, spherical, sphere, dark, emotion, romance
Flute Duet in C minor - I. Allegro.mp3.mp3;464;C minor;300 - 330;Dark : 0.70, Sad : 0.52, Scary : 0.40, Spherical : 0.38, Chilled : 0.35, Calm : 0.31, Romantic : 0.28, Energetic : 0.14, Aggressive : 0.11, Epic : 0.11, Happy : 0.09, Sexy : 0.05, Uplifting : 0.04;dark, sad;-0.69;-0.17;medium;negative;low;medium;classical, dark, scary, sinister, sad, gloomy, spherical, sphere, ominous, calm, atmosphere, classical influence, moderate, chilled, affecting, emotional, sentimental, arcane, touching, contemplative
Goldberg Variations, BWV 988 - 09 - Variatio 8 a 2 Clav..mp3.mp3;117;G major;60 - 90;Happy : 0.73, Chilled : 0.71, Romantic : 0.61, Calm : 0.34, Sad : 0.26, Spherical : 0.21, Energetic : 0.14, Uplifting : 0.14, Epic : 0.09, Sexy : 0.09, Dark : 0.05, Aggressive : 0.01, Scary : 0.01;chilled, happy, romantic;0.45;-0.20;medium;positive;low;low;chilled, classical, romantic, calm, chillout, tender, love, relaxed, soft, happy, smooth, romance, easy, gentle, moderate, feeling, emotional, emotion, soulful, touching
Goldberg Variations, BWV 988 - 06 - Variatio 5 a 1 ovvero 2 Clav..mp3.mp3;95;G major;15 - 45;Chilled : 0.65, Happy : 0.65, Romantic : 0.62, Calm : 0.35, Sad : 0.32, Spherical : 0.21, Energetic : 0.17, Epic : 0.14, Uplifting : 0.13, Dark : 0.08, Sexy : 0.07, Scary : 0.02, Aggressive : 0.01;chilled, happy, romantic;0.31;-0.18;medium;positive;low;low;chilled, classical, romantic, calm, tender, love, chillout, soft, romance, relaxed, smooth, gentle, moderate, emotional, feeling, easy, touching, emotion, soulful, happy
Etude Op. 25 no. 12 in C minor - 'Ocean'.flac.mp3;174;C minor;15 - 45;Sad : 0.74, Calm : 0.64, Romantic : 0.59, Dark : 0.53, Chilled : 0.50, Spherical : 0.45, Epic : 0.31, Scary : 0.19, Happy : 0.08, Energetic : 0.07, Aggressive : 0.03, Uplifting : 0.02, Sexy : 0.01;calm, chilled, dark, romantic, sad;-0.76;-0.55;low;negative;low;low;calm, chilled, moderate, tender, sentimental, smooth, soft, romantic, spherical, sphere, chillout, touching, feeling, emotion, contemplative, sad, emotional, relaxed, floating, gentle
Fantasia in D minor, K. 397.mp3.mp3;356;A minor;135 - 165;Sad : 0.66, Calm : 0.65, Chilled : 0.62, Romantic : 0.57, Dark : 0.49, Spherical : 0.40, Scary : 0.15, Happy : 0.12, Epic : 0.11, Energetic : 0.05, Sexy : 0.04, Aggressive : 0.03, Uplifting : 0.02;calm, chilled, romantic, sad;-0.65;-0.59;low;negative;low;low;calm, chilled, moderate, tender, chillout, smooth, soft, romantic, sentimental, relaxed, feeling, touching, emotion, gentle, spherical, sphere, contemplative, emotional, soulful, romance
Flower Duet' from Lakme (String quartet arr.).mp3.mp3;325;C major;210 - 240;Sad : 0.71, Dark : 0.70, Calm : 0.57, Spherical : 0.51, Chilled : 0.43, Romantic : 0.43, Scary : 0.32, Epic : 0.25, Energetic : 0.11, Aggressive : 0.09, Happy : 0.04, Sexy : 0.02, Uplifting : 0.02;calm, dark, sad, spherical;-0.81;-0.44;low;negative;medium;low;calm, classical, moderate, sad, dark, spherical, sphere, chilled, sentimental, atmosphere, tender, affecting, emotional, contemplative, soft, touching, smooth, feeling, chillout, sinister
Goldberg Variations, BWV 988 - 05 - Variatio 4 a 1 Clav..mp3.mp3;69;G major;30 - 60;Romantic : 0.76, Chilled : 0.66, Calm : 0.53, Happy : 0.51, Sad : 0.49, Spherical : 0.22, Epic : 0.18, Dark : 0.12, Energetic : 0.12, Uplifting : 0.08, Sexy : 0.04, Scary : 0.03, Aggressive : 0.01;calm, chilled, happy, romantic;0.01;-0.41;low;balanced;low;low;romantic, chilled, calm, love, tender, classical, romance, chillout, soft, moderate, smooth, relaxed, gentle, emotional, sentimental, feeling, touching, emotion, soulful, easy
Goldberg Variations, BWV 988 - 01 - Aria.mp3.mp3;300;G major;15 - 45;Calm : 0.87, Romantic : 0.83, Chilled : 0.81, Sad : 0.74, Spherical : 0.40, Dark : 0.27, Happy : 0.15, Epic : 0.10, Scary : 0.04, Sexy : 0.04, Energetic : 0.03, Uplifting : 0.02, Aggressive : 0.01;calm, chilled, romantic, sad;-0.58;-0.80;low;negative;low;low;calm, chilled, moderate, romantic, tender, chillout, smooth, soft, relaxed, sentimental, love, feeling, touching, romance, gentle, emotion, soulful, easy, contemplative, tranquil
Goldberg Variations, BWV 988 - 08 - Variatio 7 a 1 ovvero 2 Clav..mp3.mp3;133;G major;15 - 45;Romantic : 0.70, Calm : 0.64, Sad : 0.64, Chilled : 0.60, Dark : 0.35, Spherical : 0.28, Happy : 0.24, Epic : 0.15, Scary : 0.11, Energetic : 0.08, Aggressive : 0.03, Sexy : 0.03, Uplifting : 0.03;calm, chilled, romantic, sad;-0.48;-0.56;low;negative;low;low;calm, chilled, romantic, moderate, classical, tender, love, soft, smooth, romance, chillout, sentimental, emotional, gentle, relaxed, feeling, touching, emotion, soulful, contemplative
Goldberg Variations, BWV 988 - 11 - Variatio 10 a 1 Clav. Fughetta.mp3.mp3;106;G major;45 - 75;Romantic : 0.60, Sad : 0.53, Chilled : 0.48, Calm : 0.40, Happy : 0.34, Dark : 0.27, Spherical : 0.23, Epic : 0.22, Energetic : 0.16, Scary : 0.08, Uplifting : 0.08, Aggressive : 0.03, Sexy : 0.03;romantic, sad;-0.26;-0.24;medium;balanced;low;low;classical, romantic, calm, chilled, love, tender, emotional, romance, moderate, sentimental, soft, smooth, chillout, feeling, gentle, touching, emotion, relaxed, soulful, sad
Goldberg Variations, BWV 988 - 13 - Variatio 12 Canone alla Quarta.mp3.mp3;136;G major;90 - 120;Romantic : 0.70, Chilled : 0.58, Sad : 0.49, Calm : 0.46, Happy : 0.45, Epic : 0.23, Spherical : 0.23, Dark : 0.16, Energetic : 0.14, Uplifting : 0.08, Scary : 0.04, Sexy : 0.03, Aggressive : 0.02;chilled, romantic;-0.07;-0.32;medium;balanced;low;low;romantic, chilled, classical, calm, love, tender, romance, soft, moderate, chillout, smooth, emotional, sentimental, gentle, relaxed, feeling, touching, emotion, soulful, easy
Goldberg Variations, BWV 988 - 10 - Variatio 9 a 1 Clav. Canone alla Terza.mp3.mp3;127;G major;45 - 75;Romantic : 0.82, Chilled : 0.77, Calm : 0.76, Sad : 0.63, Happy : 0.29, Spherical : 0.29, Dark : 0.19, Epic : 0.10, Energetic : 0.05, Sexy : 0.04, Scary : 0.03, Uplifting : 0.03, Aggressive : 0.01;calm, chilled, romantic, sad;-0.35;-0.71;low;negative;low;low;calm, chilled, romantic, tender, moderate, chillout, smooth, soft, love, relaxed, romance, sentimental, gentle, feeling, touching, emotion, emotional, soulful, easy, laid back
Goldberg Variations, BWV 988 - 15 - Variatio 14 a 2 Clav..mp3.mp3;137;G major;105 - 135;Romantic : 0.57, Chilled : 0.47, Happy : 0.47, Sad : 0.40, Calm : 0.28, Epic : 0.24, Energetic : 0.22, Spherical : 0.19, Dark : 0.16, Uplifting : 0.13, Scary : 0.05, Sexy : 0.04, Aggressive : 0.02;romantic, happy;0.04;-0.06;medium;balanced;low;low;classical, romantic, chilled, love, calm, tender, emotional, romance, soft, feeling, sentimental, chillout, moderate, gentle, touching, smooth, emotion, classical influence, soulful, relaxed
Goldberg Variations, BWV 988 - 12 - Variatio 11 a 2 Clav..mp3.mp3;130;G major;15 - 45;Romantic : 0.75, Chilled : 0.70, Happy : 0.59, Calm : 0.51, Sad : 0.43, Spherical : 0.23, Epic : 0.15, Energetic : 0.11, Dark : 0.09, Uplifting : 0.09, Sexy : 0.05, Scary : 0.02, Aggressive : 0.01;calm, chilled, happy, romantic;0.13;-0.40;low;balanced;low;low;chilled, romantic, calm, tender, love, classical, chillout, romance, soft, moderate, smooth, relaxed, gentle, feeling, emotional, sentimental, touching, emotion, easy, soulful
Goldberg Variations, BWV 988 - 16 - Variatio 15 a 1 Clav. Canone alla Quinta.mp3.mp3;273;G minor;15 - 45;Calm : 0.78, Romantic : 0.77, Sad : 0.72, Chilled : 0.70, Dark : 0.35, Spherical : 0.35, Happy : 0.17, Epic : 0.13, Scary : 0.08, Energetic : 0.04, Sexy : 0.03, Aggressive : 0.02, Uplifting : 0.02;calm, chilled, romantic, sad;-0.59;-0.73;low;negative;low;low;calm, chilled, romantic, moderate, tender, smooth, chillout, soft, love, sentimental, relaxed, romance, gentle, feeling, touching, emotion, emotional, soulful, contemplative, tranquil
Goldberg Variations, BWV 988 - 14 - Variatio 13 a 2 Clav..mp3.mp3;255;G major;90 - 120;Romantic : 0.88, Calm : 0.86, Chilled : 0.86, Sad : 0.66, Spherical : 0.34, Happy : 0.32, Dark : 0.14, Epic : 0.09, Sexy : 0.05, Energetic : 0.03, Uplifting : 0.03, Scary : 0.02, Aggressive : 0.01;calm, chilled, romantic, sad;-0.30;-0.83;low;balanced;low;low;calm, chilled, romantic, tender, moderate, chillout, smooth, soft, relaxed, love, romance, gentle, sentimental, feeling, touching, emotion, easy, soulful, emotional, laid back
Goldberg Variations, BWV 988 - 18 - Variatio 17 a 2 Clav..mp3.mp3;105;G major;15 - 45;Happy : 0.58, Chilled : 0.49, Romantic : 0.49, Sad : 0.30, Energetic : 0.24, Calm : 0.20, Epic : 0.20, Spherical : 0.18, Uplifting : 0.15, Dark : 0.12, Sexy : 0.05, Scary : 0.04, Aggressive : 0.02;happy;0.25;0.04;medium;balanced;low;low;classical, romantic, chilled, happy, love, tender, classical influence, emotional, calm, romance, chillout, soft, feeling, gentle, touching, positive, relaxed, smooth, emotion, soulful
Goldberg Variations, BWV 988 - 20 - Variatio 19 a 1 Clav..mp3.mp3;86;G major;15 - 45;Romantic : 0.67, Chilled : 0.54, Sad : 0.53, Calm : 0.45, Happy : 0.38, Spherical : 0.23, Dark : 0.22, Epic : 0.22, Energetic : 0.15, Uplifting : 0.07, Scary : 0.06, Sexy : 0.03, Aggressive : 0.02;chilled, romantic, sad;-0.20;-0.30;medium;balanced;low;low;romantic, classical, calm, chilled, love, tender, romance, moderate, soft, emotional, smooth, sentimental, chillout, feeling, gentle, touching, relaxed, emotion, soulful, easy
Goldberg Variations, BWV 988 - 19 - Variatio 18 a 1 Clav. Canone alla Sexta.mp3.mp3;110;G major;0 - 30;Romantic : 0.85, Calm : 0.80, Chilled : 0.80, Sad : 0.65, Happy : 0.32, Spherical : 0.30, Dark : 0.17, Epic : 0.11, Energetic : 0.04, Sexy : 0.04, Scary : 0.03, Uplifting : 0.03, Aggressive : 0.01;calm, chilled, romantic, sad;-0.32;-0.76;low;negative;low;low;calm, chilled, romantic, tender, moderate, chillout, smooth, soft, love, relaxed, romance, gentle, sentimental, feeling, touching, emotion, soulful, emotional, easy, laid back
Goldberg Variations, BWV 988 - 17 - Variatio 16 a 1 Clav. Ouverture.mp3.mp3;189;G major;15 - 45;Romantic : 0.64, Sad : 0.58, Chilled : 0.57, Calm : 0.56, Dark : 0.34, Spherical : 0.30, Happy : 0.27, Epic : 0.16, Energetic : 0.13, Scary : 0.10, Uplifting : 0.07, Aggressive : 0.03, Sexy : 0.03;calm, chilled, romantic, sad;-0.39;-0.43;low;variable;medium;high;calm, chilled, romantic, classical, moderate, tender, love, soft, smooth, chillout, sentimental, romance, emotional, feeling, gentle, touching, relaxed, emotion, soulful, contemplative
Goldberg Variations, BWV 988 - 27 - Variatio 26 a 2 Clav..mp3.mp3;123;G major;45 - 75;Romantic : 0.64, Chilled : 0.55, Happy : 0.44, Sad : 0.44, Calm : 0.41, Epic : 0.23, Spherical : 0.22, Energetic : 0.17, Dark : 0.15, Uplifting : 0.08, Scary : 0.04, Sexy : 0.04, Aggressive : 0.02;chilled, romantic;-0.05;-0.24;medium;balanced;medium;low;classical, romantic, chilled, calm, love, tender, romance, soft, moderate, emotional, chillout, smooth, gentle, sentimental, feeling, relaxed, touching, emotion, soulful, easy
Goldberg Variations, BWV 988 - 30 - Variatio 29 a 1 ovvero 2 Clav..mp3.mp3;130;G major;45 - 75;Romantic : 0.61, Chilled : 0.57, Happy : 0.55, Sad : 0.36, Calm : 0.32, Spherical : 0.20, Epic : 0.19, Energetic : 0.18, Uplifting : 0.12, Dark : 0.11, Sexy : 0.05, Scary : 0.03, Aggressive : 0.01;chilled, happy, romantic;0.17;-0.14;medium;balanced;low;low;classical, romantic, chilled, calm, love, tender, romance, chillout, soft, emotional, smooth, relaxed, gentle, moderate, feeling, touching, sentimental, emotion, soulful, easy
Goldberg Variations, BWV 988 - 23 - Variatio 22 a 1 Clav.mp3.mp3;93;G major;30 - 60;Romantic : 0.85, Calm : 0.81, Chilled : 0.80, Sad : 0.65, Spherical : 0.32, Happy : 0.31, Dark : 0.18, Epic : 0.11, Energetic : 0.04, Sexy : 0.04, Scary : 0.03, Uplifting : 0.03, Aggressive : 0.01;calm, chilled, romantic, sad;-0.33;-0.77;low;negative;low;low;calm, chilled, romantic, tender, moderate, chillout, smooth, soft, love, relaxed, romance, gentle, sentimental, feeling, touching, emotion, emotional, soulful, easy, laid back
Goldberg Variations, BWV 988 - 28 - Variatio 27 a 2 Clav. Canone alla Nona.mp3.mp3;112;G major;15 - 45;Romantic : 0.75, Chilled : 0.72, Happy : 0.59, Calm : 0.52, Sad : 0.42, Spherical : 0.23, Epic : 0.14, Energetic : 0.11, Dark : 0.09, Uplifting : 0.09, Sexy : 0.05, Scary : 0.02, Aggressive : 0.01;calm, chilled, happy, romantic;0.14;-0.41;low;balanced;low;low;chilled, romantic, calm, tender, love, classical, chillout, romance, soft, relaxed, moderate, smooth, gentle, feeling, emotional, touching, sentimental, emotion, easy, soulful
Goldberg Variations, BWV 988 - 22 - Variatio 21 Canone alla Settima.mp3.mp3;235;G minor;30 - 60;Calm : 0.87, Romantic : 0.87, Chilled : 0.83, Sad : 0.71, Spherical : 0.36, Happy : 0.24, Dark : 0.20, Epic : 0.10, Sexy : 0.04, Energetic : 0.03, Scary : 0.03, Uplifting : 0.02, Aggressive : 0.01;calm, chilled, romantic, sad;-0.45;-0.84;low;negative;low;low;calm, chilled, romantic, moderate, tender, chillout, smooth, soft, relaxed, love, romance, sentimental, gentle, feeling, touching, emotion, soulful, emotional, easy, laid back
Goldberg Variations, BWV 988 - 21 - Variatio 20 a 2 Clav..mp3.mp3;126;G major;30 - 60;Romantic : 0.56, Chilled : 0.46, Happy : 0.42, Sad : 0.42, Calm : 0.31, Epic : 0.27, Energetic : 0.22, Dark : 0.21, Spherical : 0.21, Uplifting : 0.10, Scary : 0.07, Aggressive : 0.03, Sexy : 0.03;romantic, chilled;-0.08;-0.10;medium;balanced;medium;medium;classical, romantic, chilled, calm, love, tender, emotional, romance, soft, moderate, sentimental, feeling, touching, chillout, gentle, smooth, emotion, classical influence, soulful, relaxed
Goldberg Variations, BWV 988 - 29 - Variatio 28 a 2 Clav..mp3.mp3;147;G major;75 - 105;Romantic : 0.71, Chilled : 0.66, Calm : 0.51, Happy : 0.48, Sad : 0.47, Spherical : 0.23, Dark : 0.15, Epic : 0.15, Energetic : 0.12, Uplifting : 0.08, Sexy : 0.05, Scary : 0.04, Aggressive : 0.02;calm, chilled, romantic;-0.01;-0.39;low;balanced;low;low;chilled, romantic, calm, classical, tender, love, chillout, moderate, romance, soft, smooth, relaxed, gentle, feeling, emotional, sentimental, touching, emotion, soulful, easy
Goldberg Variations, BWV 988 - 24 - Variatio 23 a 2 Clav..mp3.mp3;140;G major;105 - 135;Romantic : 0.64, Chilled : 0.60, Happy : 0.52, Sad : 0.41, Calm : 0.38, Spherical : 0.22, Epic : 0.15, Energetic : 0.14, Dark : 0.13, Uplifting : 0.09, Sexy : 0.05, Scary : 0.03, Aggressive : 0.01;chilled, happy, romantic;0.08;-0.24;medium;balanced;low;low;classical, chilled, romantic, calm, love, tender, chillout, romance, soft, smooth, moderate, relaxed, emotional, gentle, feeling, sentimental, touching, emotion, soulful, easy
II. Scherzo.mp3.mp3;262;E major;225 - 255;Romantic : 0.48, Sad : 0.46, Chilled : 0.36, Happy : 0.32, Epic : 0.30, Calm : 0.29, Energetic : 0.29, Dark : 0.27, Spherical : 0.21, Uplifting : 0.14, Scary : 0.09, Aggressive : 0.04, Sexy : 0.03;ambiguous;-0.19;0.00;variable;balanced;high;medium;classical, romantic, calm, classical influence, chilled, emotional, love, tender, romance, sentimental, sad, moderate, feeling, touching, soft, emotion, gentle, soulful, smooth, affecting
Goldberg Variations, BWV 988 - 31 - Variatio 30 a 1 Clav. Quodlibet.mp3.mp3;122;G major;75 - 105;Romantic : 0.82, Chilled : 0.74, Calm : 0.73, Sad : 0.61, Happy : 0.36, Spherical : 0.27, Dark : 0.16, Epic : 0.14, Energetic : 0.06, Sexy : 0.04, Uplifting : 0.04, Scary : 0.03, Aggressive : 0.01;calm, chilled, romantic, sad;-0.25;-0.67;low;balanced;low;low;calm, chilled, romantic, tender, moderate, love, chillout, smooth, soft, romance, relaxed, gentle, sentimental, feeling, touching, emotion, emotional, soulful, easy, laid back
Goldberg Variations, BWV 988 - 26 - Variatio 25 a 2 Clav..mp3.mp3;559;G minor;330 - 360;Calm : 0.75, Sad : 0.72, Chilled : 0.66, Romantic : 0.65, Dark : 0.49, Spherical : 0.42, Scary : 0.15, Epic : 0.10, Happy : 0.10, Energetic : 0.04, Aggressive : 0.03, Sexy : 0.03, Uplifting : 0.02;calm, chilled, romantic, sad;-0.69;-0.68;low;negative;low;low;calm, chilled, moderate, tender, chillout, smooth, soft, romantic, sentimental, relaxed, feeling, touching, emotion, gentle, contemplative, love, romance, emotional, spherical, sphere
Goldberg Variations, BWV 988 - 32 - Aria da Capo è Fine.mp3.mp3;171;G major;15 - 45;Calm : 0.88, Romantic : 0.82, Chilled : 0.81, Sad : 0.76, Spherical : 0.42, Dark : 0.29, Happy : 0.13, Epic : 0.10, Scary : 0.04, Sexy : 0.04, Energetic : 0.02, Uplifting : 0.02, Aggressive : 0.01;calm, chilled, romantic, sad;-0.60;-0.80;low;negative;low;low;calm, chilled, moderate, tender, chillout, romantic, smooth, soft, relaxed, sentimental, feeling, touching, emotion, gentle, love, romance, soulful, easy, contemplative, tranquil
IV. Double Presto.m4a.mp3;142;B minor;30 - 60;Happy : 0.62, Chilled : 0.52, Romantic : 0.34, Energetic : 0.28, Uplifting : 0.27, Sad : 0.20, Spherical : 0.19, Sexy : 0.16, Calm : 0.13, Dark : 0.10, Epic : 0.08, Scary : 0.03, Aggressive : 0.02;chilled, happy;0.47;0.14;medium;positive;low;low;classical, happy, chilled, positive, classical influence, romantic, chillout, tender, optimistic, emotional, easy, relaxed, soft, love, feeling, smooth, calm, soulful, gentle, emotion
Goldberg Variations, BWV 988 - 25 - Variatio 24 a 1 Clav. Canone all Ottava.mp3.mp3;166;G major;75 - 105;Romantic : 0.86, Calm : 0.81, Chilled : 0.81, Sad : 0.64, Happy : 0.34, Spherical : 0.32, Dark : 0.15, Epic : 0.12, Energetic : 0.04, Sexy : 0.04, Uplifting : 0.03, Scary : 0.02, Aggressive : 0.01;calm, chilled, romantic, sad;-0.28;-0.77;low;balanced;low;low;calm, chilled, romantic, tender, moderate, chillout, smooth, soft, love, relaxed, romance, gentle, sentimental, feeling, touching, emotion, emotional, soulful, easy, laid back
Gymnopédie no. 1.mp3.mp3;174;D major;105 - 135;Calm : 0.92, Chilled : 0.88, Romantic : 0.86, Sad : 0.75, Spherical : 0.47, Dark : 0.21, Happy : 0.14, Epic : 0.08, Sexy : 0.05, Energetic : 0.02, Scary : 0.02, Aggressive : 0.01, Uplifting : 0.01;calm, chilled, romantic, sad;-0.55;-0.83;low;negative;low;low;calm, chilled, chillout, smooth, tender, relaxed, moderate, ambient, soft, feeling, romantic, touching, sentimental, emotion, easy, floating, dreamy, gentle, tranquil, soulful
I. Allegro moderato.mp3.mp3;504;A major;135 - 165;Sad : 0.60, Romantic : 0.56, Calm : 0.45, Chilled : 0.44, Dark : 0.39, Epic : 0.31, Spherical : 0.31, Happy : 0.19, Energetic : 0.16, Scary : 0.16, Uplifting : 0.05, Aggressive : 0.04, Sexy : 0.02;romantic, sad;-0.52;-0.28;medium;negative;medium;low;classical, calm, romantic, chilled, moderate, tender, sad, emotional, sentimental, love, soft, romance, touching, feeling, smooth, emotion, chillout, gentle, soulful, affecting
I. Adagio, Allegro.m4a.mp3;514;C major;180 - 210;Romantic : 0.53, Sad : 0.51, Chilled : 0.45, Calm : 0.38, Dark : 0.31, Happy : 0.31, Epic : 0.29, Spherical : 0.29, Energetic : 0.19, Scary : 0.11, Uplifting : 0.09, Aggressive : 0.03, Sexy : 0.03;romantic, sad;-0.26;-0.18;medium;variable;medium;high;classical, romantic, calm, chilled, tender, moderate, emotional, love, sentimental, soft, romance, feeling, touching, smooth, chillout, emotion, gentle, soulful, sad, relaxed
III. Mercury - the Winged Messenger.m4a.mp3;264;Bb minor;45 - 75;Dark : 0.57, Sad : 0.52, Spherical : 0.34, Chilled : 0.33, Romantic : 0.33, Calm : 0.30, Scary : 0.29, Epic : 0.25, Energetic : 0.24, Happy : 0.11, Aggressive : 0.10, Uplifting : 0.08, Sexy : 0.04;dark, sad;-0.61;-0.06;medium;negative;medium;low;classical, dark, sad, calm, sinister, scary, classical influence, spherical, sphere, emotional, moderate, atmosphere, gloomy, chilled, affecting, sentimental, ominous, touching, feeling, romantic
II. Double.m4a.mp3;192;B minor;15 - 45;Dark : 0.59, Sad : 0.45, Scary : 0.33, Energetic : 0.31, Romantic : 0.28, Epic : 0.25, Spherical : 0.24, Chilled : 0.22, Happy : 0.19, Calm : 0.16, Aggressive : 0.11, Uplifting : 0.09, Sexy : 0.03;dark, sad;-0.51;0.16;medium;negative;low;low;classical, dark, scary, sinister, classical influence, ominous, sad, gloomy, epic, menacing, horror, threatening, scare, emotional, daunting, scaring, atmosphere, sphere, spherical, dangerous
I. Mars, the Bringer of War.m4a.mp3;499;G minor;60 - 90;Epic : 0.65, Dark : 0.53, Energetic : 0.53, Sad : 0.45, Scary : 0.36, Spherical : 0.35, Uplifting : 0.23, Aggressive : 0.17, Romantic : 0.14, Chilled : 0.13, Calm : 0.11, Happy : 0.07, Sexy : 0.02;dark, energetic, epic;-0.49;0.42;high;variable;medium;high;epic, classical, dark, scary, sinister, ominous, powerful, gloomy, menacing, super hero, action thriller, aggressive, trailers and promos, energetic, threatening, horror, classical influence, scare, daunting, scaring
III. Corrente.m4a.mp3;204;B minor;75 - 105;Sad : 0.44, Romantic : 0.41, Dark : 0.40, Chilled : 0.36, Happy : 0.33, Energetic : 0.26, Calm : 0.23, Spherical : 0.21, Epic : 0.19, Scary : 0.16, Uplifting : 0.11, Aggressive : 0.06, Sexy : 0.04;ambiguous;-0.26;0.02;medium;balanced;low;low;classical, classical influence, romantic, chilled, emotional, calm, sad, tender, sentimental, love, moderate, feeling, touching, emotion, soft, romance, affecting, soulful, gentle, smooth
IV. Rondo - Grazioso.mp3.mp3;424;A major;90 - 120;Romantic : 0.59, Sad : 0.52, Chilled : 0.46, Calm : 0.40, Happy : 0.30, Dark : 0.29, Epic : 0.28, Spherical : 0.23, Energetic : 0.19, Scary : 0.10, Uplifting : 0.08, Aggressive : 0.04, Sexy : 0.03;romantic, sad;-0.30;-0.21;medium;negative;medium;medium;classical, romantic, calm, chilled, tender, love, moderate, emotional, sentimental, romance, soft, feeling, touching, smooth, chillout, emotion, gentle, soulful, relaxed, sad
IV. Allegro Molto.m4a.mp3;352;C major;105 - 135;Romantic : 0.47, Happy : 0.41, Sad : 0.40, Chilled : 0.37, Epic : 0.33, Energetic : 0.30, Dark : 0.22, Calm : 0.21, Spherical : 0.21, Uplifting : 0.15, Scary : 0.08, Aggressive : 0.04, Sexy : 0.04;ambiguous;-0.03;0.09;medium;balanced;low;medium;classical, romantic, classical influence, chilled, emotional, love, calm, tender, romance, sentimental, feeling, touching, emotion, soft, moderate, soulful, gentle, sad, chillout, smooth
III. Scherzo - Allegretto.mp3.mp3;220;A major;45 - 75;Romantic : 0.55, Sad : 0.54, Chilled : 0.45, Calm : 0.38, Dark : 0.34, Happy : 0.29, Spherical : 0.24, Epic : 0.21, Energetic : 0.17, Scary : 0.10, Uplifting : 0.08, Aggressive : 0.03, Sexy : 0.03;romantic, sad;-0.35;-0.21;medium;negative;low;low;calm, romantic, classical, chilled, tender, love, moderate, sentimental, emotional, soft, romance, smooth, feeling, chillout, touching, emotion, gentle, relaxed, soulful, sad
II. Venus, the Bringer of Peace.m4a.mp3;501;Eb major;375 - 405;Calm : 0.75, Sad : 0.72, Chilled : 0.67, Spherical : 0.60, Romantic : 0.55, Dark : 0.53, Scary : 0.17, Epic : 0.13, Happy : 0.05, Aggressive : 0.03, Energetic : 0.03, Sexy : 0.03, Uplifting : 0.01;calm, chilled, dark, romantic, sad, spherical;-0.73;-0.64;low;negative;low;low;calm, chilled, moderate, chillout, smooth, tender, spherical, sphere, soft, sentimental, relaxed, touching, feeling, contemplative, romantic, emotion, gentle, atmosphere, emotional, floating
III. Menuetto. Allegro.m4a.mp3;324;C major;285 - 315;Romantic : 0.52, Sad : 0.48, Chilled : 0.39, Epic : 0.33, Calm : 0.31, Happy : 0.30, Dark : 0.28, Energetic : 0.23, Spherical : 0.21, Scary : 0.11, Uplifting : 0.09, Aggressive : 0.04, Sexy : 0.03;romantic, sad;-0.28;-0.08;medium;balanced;medium;medium;classical, romantic, calm, chilled, emotional, love, tender, classical influence, romance, sentimental, sad, moderate, feeling, touching, soft, emotion, gentle, smooth, soulful, chillout
II. Andante Cantabile.m4a.mp3;462;F major;405 - 435;Sad : 0.72, Calm : 0.63, Romantic : 0.60, Chilled : 0.51, Dark : 0.47, Spherical : 0.41, Epic : 0.32, Scary : 0.16, Energetic : 0.09, Happy : 0.09, Aggressive : 0.03, Uplifting : 0.03, Sexy : 0.02;calm, chilled, romantic, sad;-0.72;-0.51;low;negative;medium;low;calm, classical, chilled, moderate, romantic, tender, sentimental, sad, soft, smooth, emotional, chillout, touching, love, feeling, emotion, romance, gentle, contemplative, spherical
